,cor_code,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형.1,경기전망.1,내수전망.1,수출전망.1,영업이익실적.1,자금사정실적.1,판매대금회수지연.1,자금조달곤란.1,업체간 과당경쟁.1,인력확보난.1,인건비상승.1,월.1,X1_x.1,X2_x.1,기업유형.2,경기전망.2,내수전망.2,수출전망.2,영업이익실적.2,자금사정실적.2,판매대금회수지연.2,자금조달곤란.2,업체간 과당경쟁.2,인력확보난.2,인건비상승.2,월.2,X1_y.1,X2_y.1,기업유형.3,경기전망.3,내수전망.3,수출전망.3,영업이익실적.3,자금사정실적.3,판매대금회수지연.3,자금조달곤란.3,업체간 과당경쟁.3,인력확보난.3,인건비상승.3,월.3,X1_x.2,X2_x.2,기업유형.4,경기전망.4,내수전망.4,수출전망.4,영업이익실적.4,자금사정실적.4,판매대금회수지연.4,자금조달곤란.4,업체간 과당경쟁.4,인력확보난.4,인건비상승.4,월.4,X1_y.2,X2_y.2,기업유형.5,경기전망.5,내수전망.5,수출전망.5,영업이익실적.5,자금사정실적.5,판매대금회수지연.5,자금조달곤란.5,업체간 과당경쟁.5,인력확보난.5,인건비상승.5,월.5,X1_x.3,X2_x.3,기업유형.6,경기전망.6,내수전망.6,수출전망.6,영업이익실적.6,자금사정실적.6,판매대금회수지연.6,자금조달곤란.6,업체간 과당경쟁.6,인력확보난.6,인건비상승.6,월.6,X1_y.3,X2_y.3,기업유형.7,경기전망.7,내수전망.7,수출전망.7,영업이익실적.7,자금사정실적.7,판매대금회수지연.7,자금조달곤란.7,업체간 과당경쟁.7,인력확보난.7,인건비상승.7,월.7,X1_x.4,X2_x.4,기업유형.8,경기전망.8,내수전망.8,수출전망.8,영업이익실적.8,자금사정실적.8,판매대금회수지연.8,자금조달곤란.8,업체간 과당경쟁.8,인력확보난.8,인건비상승.8,월.8,X1_y.4,X2_y.4,기업유형.9,경기전망.9,내수전망.9,수출전망.9,영업이익실적.9,자금사정실적.9,판매대금회수지연.9,자금조달곤란.9,업체간 과당경쟁.9,인력확보난.9,인건비상승.9,월.9,X1,X2,기업유형.10,경기전망.10,내수전망.10,수출전망.10,영업이익실적.10,자금사정실적.10,판매대금회수지연.10,자금조달곤란.10,업체간 과당경쟁.10,인력확보난.10,인건비상승.10,월.10
65,240066,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,24,2,1,3,3,0,3,3,1,0,1,1,1,8,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,9.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,10.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,11.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,12.0
66,240067,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,3,1,2,2,3,3,3,1,0,1,0,1,8,24.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
67,240068,24.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,24.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,2,1,3,2,2,3,2,0,0,0,0,1,8,24.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,10.0,24.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0
68,240069,24.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,24.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,24,4,2,1,2,0,1,2,1,1,1,1,1,8,24.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
69,240070,24.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,24.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,24.0,1.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,24.0,1.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,1,1,4,3,0,1,2,0,0,1,1,1,8,24.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,9.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,24.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0
70,240071,24.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,24.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,2,3,3,0,3,3,0,0,1,0,0,8,24.0,2.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,9.0,24.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,11.0,24.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0
71,240072,24.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,24,4,1,3,3,3,3,3,0,0,0,0,1,8,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0
72,240073,24.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,2.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,2,1,2,2,0,2,3,0,0,1,0,1,8,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,9.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
73,240074,24.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,24.0,6.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,24.0,6.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,24.0,6.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,24,6,1,3,3,1,1,2,1,0,0,0,1,8,24.0,6.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,10.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0
74,240075,24.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,24.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,24,1,1,2,2,0,1,1,0,1,0,0,1,8,24.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,24.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0
75,240076,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,24.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,24,2,1,2,2,0,2,2,1,0,0,0,0,8,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,9.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0
76,240077,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,24,1,1,3,3,0,3,3,1,0,0,0,0,8,24.0,1.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,12.0
77,240078,24.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,24,2,1,3,3,3,3,3,0,0,0,0,1,8,24.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0
78,240079,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,1,1,3,3,0,3,3,0,0,0,0,1,8,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,10.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,12.0
79,240080,24.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,24,3,1,3,3,3,3,3,0,0,0,0,1,8,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0
80,240081,24.0,4.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,4.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,4.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,6.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,6.0,1.0,4.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,24.0,6.0,1.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,24,2,1,2,2,0,3,3,0,0,1,0,0,8,24.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0
81,240082,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,24.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,24.0,5.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,24,1,1,3,3,0,1,1,0,1,1,0,1,8,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0
82,240083,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,2.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,5.0,24.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,24,2,1,4,3,0,3,3,0,0,1,0,0,8,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
83,240084,24.0,6.0,2.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,6.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,6.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,6.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,6.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,6.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,24,6,2,3,3,0,3,3,0,0,1,0,0,8,24.0,6.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,24.0,6.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,6.0,2.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,6.0,2.0,4.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0
84,240085,24.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,24.0,2.0,1.0,4.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,24,2,1,2,2,0,2,2,1,0,0,1,1,8,24.0,2.0,1.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,9.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,10.0,24.0,2.0,1.0,3.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,12.0
85,240086,24.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,24.0,1.0,1.0,4.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,24,1,1,3,3,0,3,3,0,0,1,0,1,8,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,9.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,10.0,24.0,1.0,1.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
